Forrest Gump,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcSppDgk99BKVA4TJtWc1FN4-HUkdWrFNfMm1-M0nQ01sIOcbTZu,1994,Comedy/Drama,8.8,"Forrest Gump is a 1994 American comedy-drama film directed by Robert Zemeckis and written by Eric Roth. It is based on the 1986 novel of the same name by Winston Groom and stars Tom Hanks, Robin Wright, Gary Sinise, Mykelti Williamson and Sally Field. The story depicts several decades in the life of Forrest Gump (Hanks), a slow-witted but kind-hearted man from Alabama who witnesses and unwittingly influences several defining historical events in the 20th century United States. The film differs substantially from the novel.

Principal photography took place in late 1993, mainly in Georgia, North Carolina and South Carolina. Extensive visual effects were used to incorporate Hanks into archived footage and to develop other scenes. The soundtrack features songs reflecting the different periods seen in the film.
"
Greyhound,https://encrypted-tbn1.gstatic.com/images?q=tbn:ANd9GcRqGlJ1E_dsszf-lreRdhk3LiSe9gK1SBzNnw63UIxXiyveYR4I,2020,Drama,7.1,"U.S. Navy Cmdr. Ernest Krause is assigned to lead an Allied convoy across the Atlantic during World War II. His convoy, however, is pursued by German U-boats. Although this is Krause's first wartime mission, he finds himself embroiled in what would come to be known as the longest, largest and most complex naval battle in history: The Battle of the Atlantic."
Cast Away,https://www.gstatic.com/tv/thumb/v22vodart/26553/p26553_v_v8_aa.jpg,2000,Adventure/Drama ,7.8,"After a deadly plane crash, Chuck Nolan finds himself marooned on a desolate island. With no way to escape, Chuck must find ways to survive in his new home."
Saving Private Ryan,https://encrypted-tbn2.gstatic.com/images?q=tbn:ANd9GcR0lDhR_dXAKTm9wysp3nWu6kP0V5skJBVbCNC_Q8urAWcr4iF_,1998,War/Drama,8.6,"During the Normandy invasion of World War II, Captain John Miller is assigned the task of searching for Private James Ryan, whose three brothers have already been killed in the war."
Captain Phillips,https://resizing.flixster.com/QTKHl91bNy4J-FXMnAaaY246jHk=/206x305/v1.bTsxMTE3NTc5MTtqOzE4NTc5OzEyMDA7MTQwMDsyMTAw,2013,Thriller/Action,7.8,"Somali pirates attack Maersk Alabama, a container ship, while it is on its course to Kenya. Richard Phillips, the captain of the ship, uses his wits to negotiate with them to save his crew."
The Green Mile,https://www.gstatic.com/tv/thumb/v22vodart/24429/p24429_v_v8_aa.jpg,1999,Crime/Drama,8.6,"Paul Edgecomb, the head guard of a prison, meets an inmate, John Coffey, a black man who is accused of murdering two girls. His life changes drastically when he discovers that John has a special gift."
Big,https://www.movienewsletters.net/photos/035514R1.jpg,1988,Fantasy/Comedy,7.3,"A 13-year-old boy wishes to get bigger in size with the help of a fortune-telling machine. When he wakes up the next morning, he discovers that his wish has been fulfilled."
Sleepless in Seattle,https://www.movienewsletters.net/photos/014274R1.jpg,1993,Romance/Comedy ,6.8,"Realising that Sam has still not come to terms with his wife Maggie's death, his eight-year-old son Jonah forces him to call a national radio talk show, with the hopes of finding him a companion."
Catch Me If You Can,https://encrypted-tbn2.gstatic.com/images?q=tbn:ANd9GcRSFA95uZKTll-AfrEI1yOB7-yPzK_X1DtCF0pRAsOB224-HtAK,2002,Crime,8.1,"Notorious con artist Frank Abagnale has duped people worth millions of dollars with his masterful art of deception. With his scams getting bolder, he is soon pursued by FBI agent Carl Hanratty."
Sully,https://encrypted-tbn1.gstatic.com/images?q=tbn:ANd9GcS6x2sGBjZwUdxcWNkZn1ODfxZ4-7z-00Bk9qZRCQFN8C-0ssO6,2016,Drama,7.4,"Captain Chesley, a commercial pilot, makes an emergency landing on the Hudson River after his plane is hit by birds. However, an investigation into the matter might prove to be fatal to his career."
